task	BioProject	project_name	N_val_runs	N_wrong	pct_of_task_errors	N_conf_wrong	pct_of_task_conf_errors	own_error_rate	own_conf_error_rate
community_type	PRJNA994900	Kirdok2024	70	68	24.8	63	51.6	97.1	90.0
community_type	PRJEB49638	Moraitou2022	20	4	1.5	4	3.3	20.0	20.0
community_type	PRJEB34569	FellowsYates2021	42	3	1.1	2	1.6	7.1	4.8
community_type	PRJEB80877	vonHippel2025	46	0	0.0	0	0.0	0.0	0.0
community_type	PRJNA1211513	Schreiber2025	48	0	0.0	0	0.0	0.0	0.0
community_type	PRJEB74036	Liu2024	21	0	0.0	0	0.0	0.0	0.0
community_type	PRJNA1056444	Austin2024	39	6	2.2	0	0.0	15.4	0.0
material	PRJNA994900	Kirdok2024	70	70	12.9	40	16.1	100.0	57.1
material	PRJEB80877	vonHippel2025	46	46	8.5	35	14.1	100.0	76.1
material	PRJNA1211513	Schreiber2025	48	48	8.9	34	13.7	100.0	70.8
material	PRJEB74036	Liu2024	21	21	3.9	17	6.9	100.0	81.0
material	PRJEB49638	Moraitou2022	20	4	0.7	4	1.6	20.0	20.0
material	PRJEB34569	FellowsYates2021	42	3	0.6	2	0.8	7.1	4.8
material	PRJNA1056444	Austin2024	39	5	0.9	0	0.0	12.8	0.0
sample_host	PRJNA994900	Kirdok2024	70	41	16.6	38	31.1	58.6	54.3
sample_host	PRJEB34569	FellowsYates2021	42	34	13.8	32	26.2	81.0	76.2
sample_host	PRJEB49638	Moraitou2022	20	20	8.1	16	13.1	100.0	80.0
sample_host	PRJNA1056444	Austin2024	39	15	6.1	10	8.2	38.5	25.6
sample_host	PRJEB80877	vonHippel2025	46	0	0.0	0	0.0	0.0	0.0
sample_host	PRJNA1211513	Schreiber2025	48	0	0.0	0	0.0	0.0	0.0
sample_host	PRJEB74036	Liu2024	21	1	0.4	0	0.0	4.8	0.0
sample_type	PRJNA994900	Kirdok2024	70	31	26.1	10	20.0	44.3	14.3
sample_type	PRJEB34569	FellowsYates2021	42	2	1.7	2	4.0	4.8	4.8
sample_type	PRJEB49638	Moraitou2022	20	4	3.4	2	4.0	20.0	10.0
sample_type	PRJNA1056444	Austin2024	39	2	1.7	1	2.0	5.1	2.6
sample_type	PRJEB80877	vonHippel2025	46	0	0.0	0	0.0	0.0	0.0
sample_type	PRJNA1211513	Schreiber2025	48	0	0.0	0	0.0	0.0	0.0
sample_type	PRJEB74036	Liu2024	21	0	0.0	0	0.0	0.0	0.0
