Task	Dataset	N	Accuracy	Balanced Accuracy	F1-weighted	Precision (macro)	Recall (macro)
Sample Type	Training	2609	98.7	92.1	98.6	98.2	92.1
Sample Type	Test	461	1.0	1.0	1.0	1.0	1.0
Sample Type	Validation (seen labels)	608	93.1	93.1	96.4	50.0	93.1
Sample Type	Validation (all samples)	774	94.4	—	—	—	—
Community Type	Training	2609	97.5	97.7	97.5	98.5	97.7
Community Type	Test	461	1.0	1.0	1.0	1.0	1.0
Community Type	Validation (seen labels)	608	70.7	46.8	65.1	49.2	46.8
Community Type	Validation (all samples)	774	74.0	—	—	—	—
Sample Host	Training	2609	97.9	94.1	97.8	97.8	94.1
Sample Host	Test	461	1.0	1.0	1.0	1.0	1.0
Sample Host	Validation (seen labels)	538	80.9	63.4	83.5	61.2	63.4
Sample Host	Validation (all samples)	774	75.6	—	—	—	—
Material	Training	2609	97.5	94.2	97.4	95.8	94.2
Material	Test	461	1.0	0.9	1.0	0.9	0.9
Material	Validation (seen labels)	508	75.2	69.7	63.4	26.0	69.7
Material	Validation (all samples)	774	57.4	—	—	—	—
